rssi,timestamp,I_0,Q_0,I_1,Q_1,I_2,Q_2,I_3,Q_3,I_4,Q_4,I_5,Q_5,I_6,Q_6,I_7,Q_7,I_8,Q_8,I_9,Q_9,I_10,Q_10,I_11,Q_11,I_12,Q_12,I_13,Q_13,I_14,Q_14,I_15,Q_15,I_16,Q_16,I_17,Q_17,I_18,Q_18,I_19,Q_19,I_20,Q_20,I_21,Q_21,I_22,Q_22,I_23,Q_23,I_24,Q_24,I_25,Q_25,I_26,Q_26,I_27,Q_27,I_28,Q_28,I_29,Q_29,I_30,Q_30,I_31,Q_31,I_32,Q_32,I_33,Q_33,I_34,Q_34,I_35,Q_35,I_36,Q_36,I_37,Q_37,I_38,Q_38,I_39,Q_39,I_40,Q_40,I_41,Q_41,I_42,Q_42,I_43,Q_43,I_44,Q_44,I_45,Q_45,I_46,Q_46,I_47,Q_47,I_48,Q_48,val_98
-23,1030284983,28,-64,1,0,-2,25,-1,26,-1,27,0,28,-1,28,-1,28,-2,28,-3,26,-4,25,-4,23,-4,21,-3,20,-2,18,-1,17,0,16,2,15,3,15,3,16,3,16,3,16,2,16,1,16,0,16,-1,15,-2,14,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,-5,12,-7,12,-8,12,-10,12,-11,12,-11,11,-11,11,-11,10,-10,10,-9,11,-8,12,-
-25,1174304737,28,-64,1,0,24,7,24,5,24,4,24,3,24,2,24,2,24,1,25,1,24,1,24,2,23,3,21,3,20,3,19,3,18,2,17,2,17,2,16,1,15,1,15,1,15,1,14,2,14,2,13,3,13,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,1,11,1,11,2,12,2,13,3,15,4,15,6,16,7,16,8,16,8,15,8,15,8,15,8,15,7,16,7,17,6,19,5,20,5,22,5,24,6,25,7,26,8,27,9,27,10,28,10,28,10
-25,1174655436,28,-64,1,0,-3,40,-3,38,-3,35,-2,32,0,31,2,29,3,28,5,28,6,28,6,28,6,29,5,29,5,29,4,29,2,27,1,26,0,24,0,22,0,20,0,19,0,18,0,18,0,17,0,17,-1,16,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,13,0,14,0,15,1,16,1,17,1,19,0,22,-1,24,-2,25,-3,26,-5,27,-6,27,-7,27,-7,26,-6,26,-5,26,-3,26,-2,27,0,28,2,31,3,33,3,36,3,39,2,41,1,43
-26,1174702303,28,-64,1,0,8,-31,8,-31,9,-29,9,-28,9,-26,8,-24,7,-23,6,-21,5,-21,3,-20,2,-21,1,-21,1,-21,1,-21,2,-22,3,-21,4,-20,5,-19,5,-18,5,-17,5,-15,5,-14,4,-13,4,-12,4,-12,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,4,-12,5,-12,5,-12,5,-12,5,-12,5,-12,5,-13,5,-14,5,-15,5,-17,6,-18,6,-20,8,-21,9,-21,10,-22,11,-21,12,-21,12,-21,11,-20,11,-20,10,-21,8,-22,7,-23,6,-25,6,-27,6,-29
-48,1175350973,112,1,23,0,33,13,29,12,25,10,20,7,15,4,10,0,5,-3,1,-7,-2,-11,-5,-15,-8,-18,-9,-21,-10,-24,-10,-26,-9,-28,-7,-27,-5,-25,-3,-23,-2,-20,-1,-17,-1,-13,-1,-9,-1,-5,-2,-2,-3,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-4,-1,-5,1,-6,5,-8,8,-10,11,-12,13,-15,15,-17,16,-19,17,-22,18,-23,18,-23,16,-21,14,-19,12,-15,11,-12,9,-7,8,-2,7,4,6,10,5,16,5,22,6,27,7,31,8,35,10,37,11
-48,1175351783,112,1,23,0,26,-26,23,-22,19,-19,14,-15,10,-12,4,-9,-1,-7,-6,-5,-11,-3,-16,-2,-20,-1,-23,-1,-25,-2,-27,-3,-28,-5,-27,-6,-24,-7,-21,-8,-18,-7,-14,-7,-11,-6,-8,-4,-5,-2,-2,1,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-2,2,-1,4,2,7,4,10,6,13,7,16,8,19,8,21,8,24,7,26,6,27,5,27,4,25,3,21,3,18,4,14,5,9,6,3,7,-2,9,-8,12,-13,14,-18,18,-22,21,-26,24,-28,26,-29
-48,1175352879,112,1,23,0,-8,-36,-6,-32,-6,-27,-5,-21,-5,-15,-5,-9,-6,-4,-7,2,-8,7,-10,11,-11,15,-13,18,-15,20,-17,21,-18,21,-19,19,-19,17,-17,14,-16,11,-13,8,-11,6,-7,4,-4,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,7,1,10,1,14,1,17,2,20,3,22,4,24,5,26,7,27,9,26,9,23,9,20,8,17,6,14,3,10,0,6,-4,2,-8,-1,-13,-4,-17,-7,-22,-9,-27,-10,-32,-11,-36,-11,-38
-25,1176210137,28,-64,1,0,13,31,13,32,14,32,14,33,13,33,12,32,10,31,9,30,8,28,8,27,8,25,8,23,8,22,9,21,10,20,10,20,10,20,10,19,9,19,8,19,7,19,6,18,4,17,3,16,2,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,14,4,15,3,16,2,17,2,18,1,18,1,19,0,19,1,19,2,19,2,20,3,21,4,22,5,24,6,25,6,27,6,29,6,31,5,32,4,33,4,33,4,33,4,33,5,32,6,32,7,32
-25,1176308701,28,-64,1,0,37,-21,37,-19,36,-17,35,-16,33,-14,31,-13,28,-13,26,-13,24,-14,23,-15,21,-16,21,-16,21,-17,22,-17,22,-16,22,-15,22,-14,22,-13,21,-11,20,-10,18,-9,17,-8,16,-7,15,-7,15,-6,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-2,14,-7,15,-7,15,-6,15,-6,15,-6,16,-6,16,-7,17,-8,18,-9,20,-10,22,-11,24,-11,26,-11,27,-10,29,-10,30,-9,30,-9,30,-8,29,-8,29,-9,28,-10,28,-12,28,-14,29,-16,31,-19,33,-20
-26,1176411268,28,-64,1,0,26,11,25,12,24,12,23,12,21,12,20,11,19,9,18,8,17,6,17,5,17,5,17,4,18,4,18,4,18,5,18,5,17,6,16,6,15,6,14,7,12,6,11,6,10,6,9,6,9,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,4,10,5,10,6,9,6,9,6,10,6,11,6,12,6,13,6,14,6,15,7,16,8,17,9,17,11,17,12,17,12,17,13,16,13,16,13,17,12,17,11,18,10,19,9,21,9,23,8,25,8
-26,1176515365,28,-64,1,0,1,33,0,32,-1,31,-2,29,-2,27,-2,26,-1,24,0,22,1,21,2,21,3,20,4,20,4,20,4,21,4,21,3,21,2,20,1,19,0,18,-1,17,-1,16,-1,15,-1,14,-1,13,-2,12,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-1,12,-2,12,-3,13,-3,13,-3,13,-3,13,-2,14,-2,15,-1,16,-1,17,-1,19,-2,21,-3,22,-4,23,-5,23,-6,23,-6,23,-6,23,-6,23,-5,23,-4,23,-3,23,-1,24,0,26,2,28,2,29
-26,1176615361,28,-64,1,0,-15,-30,-14,-30,-13,-29,-12,-28,-11,-27,-10,-25,-10,-23,-10,-21,-11,-20,-12,-19,-12,-18,-13,-18,-14,-18,-14,-18,-13,-18,-13,-18,-11,-18,-10,-18,-9,-17,-8,-17,-7,-16,-6,-15,-6,-14,-5,-13,-5,-12,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-3,-5,-13,-5,-13,-4,-13,-4,-14,-4,-13,-4,-13,-5,-14,-6,-14,-7,-16,-7,-17,-8,-19,-8,-20,-7,-22,-7,-23,-6,-24,-6,-24,-5,-25,-5,-24,-5,-24,-6,-24,-7,-23,-8,-23,-10,-23,-12,-24,-14,-25,-15,-26
-24,1176714796,28,-64,1,0,-7,33,-8,32,-9,31,-9,29,-9,28,-8,26,-7,24,-6,23,-4,22,-3,22,-2,21,-1,22,-1,22,-1,22,-1,22,-2,22,-3,21,-4,20,-5,19,-5,17,-5,16,-5,15,-5,14,-5,13,-5,12,-2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-4,12,-5,12,-5,12,-6,12,-6,12,-6,13,-5,14,-5,15,-5,16,-5,18,-5,19,-6,21,-8,22,-9,23,-10,23,-11,23,-12,23,-12,22,-11,22,-11,22,-10,23,-8,23,-7,25,-5,27,-5,29,-5,30
-24,1176821371,28,-64,1,0,-29,-33,-27,-34,-25,-33,-23,-32,-21,-31,-20,-29,-19,-27,-19,-24,-19,-22,-20,-21,-20,-20,-21,-19,-22,-19,-22,-19,-22,-19,-20,-20,-19,-20,-17,-20,-16,-19,-14,-19,-12,-18,-11,-17,-11,-16,-10,-15,-9,-15,-3,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-4,-11,-14,-10,-14,-9,-15,-9,-15,-9,-15,-10,-15,-11,-16,-12,-16,-13,-17,-15,-19,-16,-20,-17,-22,-17,-25,-17,-26,-16,-28,-16,-29,-15,-29,-15,-29,-15,-29,-15,-28,-16,-28,-18,-27,-20,-27,-23,-27,-26,-28,-28,-29
-48,1176830723,112,1,23,0,5,-36,5,-32,4,-27,3,-21,1,-15,-2,-10,-5,-5,-8,0,-11,3,-15,6,-18,9,-20,11,-22,12,-24,12,-25,11,-25,9,-24,7,-21,5,-18,4,-15,2,-12,1,-8,0,-5,1,-1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,3,10,4,13,5,16,6,19,8,21,10,22,12,23,14,23,16,22,16,20,15,17,13,14,10,12,7,9,3,7,-2,5,-7,3,-12,2,-18,1,-24,1,-29,1,-34,1,-38,2,-39
-48,1176832296,112,1,23,0,37,16,32,13,26,11,20,8,15,6,10,1,6,-5,3,-9,0,-12,-4,-17,-6,-21,-8,-24,-8,-26,-7,-30,-5,-32,-3,-31,-2,-28,0,-25,1,-22,1,-18,2,-14,1,-10,0,-6,-3,-2,-5,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-4,0,-5,2,-6,6,-8,10,-10,13,-12,17,-15,19,-18,20,-20,21,-22,22,-24,22,-24,20,-22,18,-19,16,-16,13,-12,11,-7,9,-2,7,5,6,12,6,19,6,25,6,29,7,35,9,40,11,42,12
-48,1176834026,112,1,23,0,-28,7,-25,6,-21,5,-16,4,-12,4,-7,4,-3,4,2,4,6,6,9,7,12,8,14,9,15,11,16,12,16,14,15,14,12,14,10,13,8,11,6,9,4,7,3,5,2,2,1,-1,1,-3,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,-2,1,-4,0,-7,-1,-10,-1,-12,0,-15,0,-17,1,-19,2,-20,3,-22,4,-22,5,-22,5,-20,4,-17,3,-14,1,-12,-1,-9,-3,-6,-7,-2,-10,1,-14,4,-18,6,-21,7,-25,9,-28,10,-29,10
-48,1176860773,112,1,23,0,13,-39,12,-34,10,-28,7,-22,4,-16,0,-12,-5,-7,-9,-3,-13,1,-17,5,-21,7,-24,8,-26,9,-28,9,-30,8,-30,5,-28,4,-25,2,-21,0,-18,-1,-14,-1,-9,-1,-5,0,-2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,3,2,4,6,5,9,7,13,8,16,11,18,13,20,16,21,19,21,21,21,23,20,23,17,21,15,18,13,14,11,10,9,6,7,0,6,-7,5,-14,5,-19,6,-24,6,-30,8,-36,9,-41,11,-43
-48,1176885657,112,1,23,0,10,-38,10,-34,8,-29,5,-24,3,-18,0,-13,-3,-8,-7,-3,-12,2,-16,5,-20,8,-22,9,-26,10,-28,9,-29,8,-29,6,-27,4,-25,3,-21,1,-17,0,-13,-1,-9,-1,-5,0,-2,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,3,3,3,7,4,10,6,14,7,17,8,20,11,21,13,23,16,24,18,24,20,22,19,19,18,17,16,14,13,12,9,10,3,8,-2,6,-7,4,-13,3,-18,3,-25,4,-30,5,-36,7,-41,7,-43
-49,1176886744,112,1,23,0,-30,-27,-26,-24,-22,-20,-18,-14,-14,-10,-10,-6,-8,0,-6,7,-4,11,-1,15,0,19,0,23,-2,26,-4,28,-5,29,-7,28,-8,26,-8,23,-8,19,-7,15,-6,11,-3,7,-1,4,1,2,4,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,-2,7,-5,9,-8,12,-10,15,-12,18,-13,21,-14,24,-14,26,-14,28,-13,27,-12,25,-10,22,-8,18,-7,14,-8,8,-7,2,-7,-5,-8,-10,-11,-15,-14,-21,-16,-27,-19,-31,-21,-33,-24,-34,-25
